#idx,nombre,dir,lat,lng,precio_rango,pts_comida,pts_servicio,pts_ambiente,cnt_reviews,cocina,img
344,La Alacena,Gascón 1401,-34.5940741,-58.4228467,75,,,,,"Italiana, De Autor, Porteña",Restaurante.jpg
345,La brunilda,República Dominicana 3382,-34.590984,-58.413578,75,,,,,Parrilla,Restaurante.jpg
346,Dulce Charlotte,Costa Rica 5610,-34.5826392,-58.4347262,75,,,,,De Autor,Dulce-Charlotte-15432-b2bb1a47-5d72-2f60-f3ea-573f6f15c6af
347,Güimpi,Salguero 1712,-34.590131964638,-58.41685822371,50,,,,,Pizza,photo_2219_1.jpg-fdd03a7e-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
348,El Wok,Soler 3573,-34.594132482733,-58.414147417847,,,,,,China,photo_2335_1.jpg-fdd0879e-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
349,Bakano,Av. Cerviño 3496,-34.580441,-58.408449,,,,,,"Mediterránea, Pizza",photo_5309_1.jpg-fdd4312f-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
350,M Palermo,El Salvador 5783,-34.5818238,-58.4371981,100,,,,,"Japonesa Sushi, Peruana, Mediterránea",Restaurante.jpg
351,Jerome BrewPub,Malabia 1401,-34.592182,-58.429142,75,,,,,Variada,Restaurante.jpg
352,Miloca bar & terrazas,Av. Cnel. Niceto Vega 5189,-34.589629,-58.435057,,,,,,Pizza,photo_1313_1.jpg-fdcf27d7-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
353,Tea Connection,"Migueletes 996 ",-34.5652264,-58.4362451,100,,,,,Natural,c305a250710e95cf6bad18c18a1c02f4_Tea-Connection-12308.jpg
354,Coco Café,Cabello 3794,-34.5800329,-58.4130105,25,,,,,"Francesa, Casera",Restaurante.jpg
355,Romario,Cabello 3700,-34.580295231076,-58.411804825272,,,,,,Pizza,photo_1084_1.jpg-fdceb2f7-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
356,La amistad,Juncal 4500,-34.577268174123,-58.422559256667,100,,,,,Parrilla,photo_1204_1.jpg-fdcf010b-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
357,Esperanto,Av. Juan B. Justo 1625,-34.5862441,-58.4359542,,,,,,Porteña,photo_273_1.jpg-fdcdc7e7-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
358,El buen gourmet,Charcas 4063,-34.585514504506,-58.420526820008,,,,,,"Parrilla, Italiana, Casera",photo_2902_1.jpg-fdd17275-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
359,Próspero Velazco,Arévalo 1947,-34.5790745,-58.4382457,,,,,,Deli,Restaurante.jpg
360,Taberna Odin,Honduras 5090,-34.5881623,-58.4310956,75,,,,,Casera,photo_11398_1.jpg-fdd60591-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
361,Festival,Gorriti 5741,-34.583796,-58.438672,25,,,,,Variada,Restaurante.jpg
362,Café vinilo,Gorriti 3780,-34.595488,-58.418144,,,,,,De Autor,photo_6342_1.jpg-fdd431d0-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
363,Baum,Honduras 5720,-34.5832263,-58.4375369,100,,,,,Variada,Baum-15678-8876a15d-da69-5459-3aec-56d058d8baf2
364,Portubien,Paunero 2751,-34.581859970941,-58.408902221116,,,,,,"Natural, Vegetariana",photo_2136_1.jpg-fdd039d6-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
365,Dulcinea,Av. Santa Fé 4130,-34.581688,-58.421027,75,,,,,"Pizza, Porteña, Uruguaya",Dulcinea-10016-c6b15f5a-1a2e-a643-53e6-56d0456e4c6e
366,Chalmers green bar,Av. Cnel. Niceto Vega 5248,-34.589271,-58.435656,,,,,,"Francesa, Mediterránea",photo_3926_1.jpg-fdd2f88c-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
367,Asian,Av. Córdoba 5300,-34.5896777,-58.4371383,,,,,,Sudeste Asiático,photo_4114_1.jpg-fdd40a62-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
368,Sensu (Alto Palermo),Arenales 3340,-34.589093,-58.410068,100,,,,,Japonesa Sushi,Sensu-Alto-Palermo-3014-1367a214-3f40-41f3-bbfe-996f71c0a965
369,Tonno soho,Charcas 4400,-34.583059,-58.424022,,,,,,"Italiana, Pizza",photo_5249_1.jpg-fdd43123-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
370,Mainroom,Bonpland 1621,-34.583883854782,-58.438028763544,,,,,,Mediterránea,photo_3847_1.jpg-fdd2d1d4-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
371,Dumont petit bistro,Dr. Emilio Ravignani 1596,-34.582618,-58.440402,,,,,,"Japonesa Sushi, Autóctona",photo_3848_1.jpg-fdd2d1d8-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
372,Sabihondos y suicidas,Adolfo P. Carranza 2225,-34.6033257,-58.4759588,,,,,,Porteña,photo_7021_1.jpg-fdd4a719-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
